name,club,playing_position,minutes_played,bigindex_score,bigindex_score_rounded,man_of_the_match,comment,,,,,,,,,,,,,
Adrian,WHU,GK,90,67.842,67.8,,,,,,,,,,,,,,,
Joey O'Brien,WHU,DF,62,64.198,64.2,,,,,,,,,,,,,,,
Winston Reid,WHU,DF,90,70.54,70.5,,,,,,,,,,,,,,,
James Collins,WHU,DF,63,61.266,61.3,,,,,,,,,,,,,,,
Aaron Cresswell,WHU,DF,90,67.476,67.5,,,,,,,,,,,,,,,
Cheikhou Kouyate,WHU,MF,90,71.396,71.4,,,,,,,,,,,,,,,
Mark Noble,WHU,MF,90,70.696,70.7,,,,,,,,,,,,,,,
Stewart Downing,WHU,MF,90,73.05,73.1,,,,,,,,,,,,,,,
Kevin Nolan,WHU,MF,90,64.434,64.4,,,,,,,,,,,,,,,
Ricardo Vaz Te,WHU,MF,68,57.248,57.2,,,,,,,,,,,,,,,
Carlton Cole,WHU,FW,81,55.982,56.0,,,,,,,,,,,,,,,
Guy Demel,WHU,DF,28,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Mohamed Diame,WHU,MF,22,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Enner Valencia,WHU,FW,9,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Hugo Lloris,TOT,GK,90,76.374,76.4,,,,,,,,,,,,,,,
Kyle Naughton,TOT,DF,29,51.142,51.1,,,,,,,,,,,,,,,
Younes Kaboul,TOT,DF,90,73.064,73.1,,,,,,,,,,,,,,,
Eric Dier,TOT,DF,90,80.776,80.8,1,,,,,,,,,,,,,,
Danny Rose,TOT,DF,90,65.99,66.0,,,,,,,,,,,,,,,
Etienne Capoue,TOT,MF,90,73.25,73.3,,,,,,,,,,,,,,,
Nabil Bentaleb,TOT,MF,90,74.29,74.3,,,,,,,,,,,,,,,
Christian Eriksen,TOT,MF,90,69.002,69.0,,,,,,,,,,,,,,,
Erik Lamela,TOT,MF,61,63.02,63.0,,,,,,,,,,,,,,,
Aaron Lennon,TOT,MF,61,61.346,61.3,,,,,,,,,,,,,,,
Emmanuel Adebayor,TOT,FW,83,61.438,61.4,,,,,,,,,,,,,,,
Andros Townsend,TOT,MF,29,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Lewis Holtby,TOT,MF,29,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Harry Kane,TOT,FW,7,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Ben Foster,WBA,GK,90,56.262,56.3,,,,,,,,,,,,,,,
Andre Wisdom,WBA,DF,90,60.336,60.3,,,,,,,,,,,,,,,
Craig Dawson,WBA,DF,90,64,64.0,,,,,,,,,,,,,,,
Jonas Olsson,WBA,DF,90,63.206,63.2,,,,,,,,,,,,,,,
Sebastien Pocognoli,WBA,DF,90,68.308,68.3,,,,,,,,,,,,,,,
Graham Dorrans,WBA,MF,84,67.662,67.7,,,,,,,,,,,,,,,
Craig Gardner,WBA,MF,84,72.524,72.5,,,,,,,,,,,,,,,
Youssouf Mulumbu,WBA,MF,90,67.266,67.3,,,,,,,,,,,,,,,
Chris Brunt,WBA,MF,77,64.556,64.6,,,,,,,,,,,,,,,
Saido Berahino,WBA,FW,90,77.142,77.1,,,,,,,,,,,,,,,
Victor Anichebe,WBA,FW,90,66.684,66.7,,,,,,,,,,,,,,,
Claudio Yacob,WBA,MF,6,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Stephane Sessegnon,WBA,FW,6,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Chris Bard,WBA,DF,13,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Vito Mannone,SUN,GK,90,62.99,63.0,,,,,,,,,,,,,,,
Wes Brown,SUN,DF,81,62.834,62.8,,,,,,,,,,,,,,,
Valentin Roberge,SUN,DF,90,56.194,56.2,,,,,,,,,,,,,,,
John O'Shea,SUN,DF,90,62.71,62.7,,,,,,,,,,,,,,,
Patrick van Aanholt,SUN,DF,90,73.2,73.2,,,,,,,,,,,,,,,
Lee Cattermole,SUN,MF,90,76.448,76.4,,,,,,,,,,,,,,,
Adam Johnson,SUN,MF,73,57.59,57.6,,,,,,,,,,,,,,,
Jack Rodwell,SUN,MF,68,66.256,66.3,,,,,,,,,,,,,,,
Sebastien Larsson,SUN,MF,90,80.15,80.2,1,,,,,,,,,,,,,,
Connor Wickham,SUN,FW,90,63.782,63.8,,,,,,,,,,,,,,,
Steven Fletcher,SUN,FW,90,62.94,62.9,,,,,,,,,,,,,,,
Jordi Gomez,SUN,MF,22,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Jozy Altidore,SUN,FW,9,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
William Buckley,SUN,MF,17,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Asmir Begovic,STK,GK,90,56.026,56.0,,,,,,,,,,,,,,,
Phil Bardsley,STK,DF,90,62.43,62.4,,,,,,,,,,,,,,,
Ryan Shawcross,STK,DF,90,74.242,74.2,1,,,,,,,,,,,,,,
Marc Wilson,STK,DF,90,65.438,65.4,,,,,,,,,,,,,,,
Erik Pieters,STK,DF,90,74.85,74.9,,,,,,,,,,,,,,,
Steven N'Zonzi,STK,MF,90,71.532,71.5,,,,,,,,,,,,,,,
Glenn Whelan,STK,MF,8,64.552,64.6,,,,,,,,,,,,,,,
Bojan Krkic,STK,MF,90,62.914,62.9,,,,,,,,,,,,,,,
Stephen Ireland,STK,MF,90,65.264,65.3,,,,,,,,,,,,,,,
Marko Arnautovic,STK,MF,90,59.108,59.1,,,,,,,,,,,,,,,
Mame Biram Diouf,STK,FW,71,59.158,59.2,,,,,,,,,,,,,,,
Charlie Adam,STK,MF,8,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Peter Crouch,STK,FW,19,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Brad Guzan,AVL,GK,90,63.36,63.4,,,,,,,,,,,,,,,
Alan Hutton,AVL,DF,90,70.242,70.2,,,,,,,,,,,,,,,
Philippe Senderos,AVL,DF,90,67.694,67.7,,,,,,,,,,,,,,,
Ron Vlaar,AVL,DF,90,72.51,72.5,,,,,,,,,,,,,,,
Aly Cissokho,AVL,DF,90,70.124,70.1,,,,,,,,,,,,,,,
Fabian Delph,AVL,MF,90,71.88,71.9,,,,,,,,,,,,,,,
Ashley Westwood,AVL,MF,90,64.898,64.9,,,,,,,,,,,,,,,
Charles N'Zogbia,AVL,MF,71,59.92,59.9,,,,,,,,,,,,,,,
Kieran Richardson,AVL,MF,90,67.428,67.4,,,,,,,,,,,,,,,
Andreas Weimann,AVL,FW,82,73.162,73.2,,,,,,,,,,,,,,,
Gabriel Agbonlahor,AVL,FW,90,62.04,62.0,,,,,,,,,,,,,,,
Leandro Bacuna,AVL,DF,8,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Jack Grealish,AVL,MF,19,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Robert Green,QPR,GK,90,67.856,67.9,,,,,,,,,,,,,,,
Richard Dunne,QPR,DF,78,64.216,64.2,,,,,,,,,,,,,,,
Rio Ferdinand,QPR,DF,90,68.048,68.0,,,,,,,,,,,,,,,
Steven Caulker,QPR,DF,90,67.434,67.4,,,,,,,,,,,,,,,
Danny Simpson,QPR,DF,68,59.61,59.6,,,,,,,,,,,,,,,
Armand Traore,QPR,DF,90,68.284,68.3,,,,,,,,,,,,,,,
Joey Barton,QPR,MF,90,67.998,68.0,,,,,,,,,,,,,,,
Alejandro Faurlin,QPR,MF,69,62.226,62.2,,,,,,,,,,,,,,,
Jordon Mutch,QPR,MF,90,56.138,56.1,,,,,,,,,,,,,,,
Charlie Austin,QPR,FW,90,55.358,55.4,,,,,,,,,,,,,,,
Loic Remy,QPR,FW,90,70.15,70.2,,,,,,,,,,,,,,,
Bobby Zamora,QPR,FW,78,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Matthew Phillips,QPR,MF,68,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Junior Hoilett,QPR,MF,69,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Allan McGregor,HUL,GK,90,81.624,81.6,,,,,,,,,,,,,,,
Curtis Davies,HUL,DF,90,77.416,77.4,,,,,,,,,,,,,,,
James Chester,HUL,DF,90,84.16,84.2,1,,,,,,,,,,,,,,
Alex Bruce,HUL,DF,45,64.86,64.9,,,,,,,,,,,,,,,
Ahmed Elmohamady,HUL,MF,90,67.552,67.6,,,,,,,,,,,,,,,
Tom Huddlestone,HUL,MF,90,67.756,67.8,,,,,,,,,,,,,,,
Jake Livermore,HUL,MF,90,64.724,64.7,,,,,,,,,,,,,,,
Andrew Robertson,HUL,DF,90,73.95,74.0,,,,,,,,,,,,,,,
Tom Ince,HUL,MF,82,64.092,64.1,,,,,,,,,,,,,,,
Robert Snodgrass,HUL,MF,40,57.024,57.0,,,,,,,,,,,,,,,
Nikica Jelavic,HUL,FW,90,59.53,59.5,,,,,,,,,,,,,,,
David Meyler,HUL,FW,8,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Stephen Quinn,HUL,MF,50,68.252,68.3,,,,,,,,,,,,,,,
Paul McShane,HUL,DF,45,62.666,62.7,,,,,,,,,,,,,,,
Kasper Schmeichel,LEI,GK,90,60.918,60.9,,,,,,,,,,,,,,,
Ritchie de Laet,LEI,DF,90,60.138,60.1,,,,,,,,,,,,,,,
Liam Moore,LEI,DF,90,69.462,69.5,,,,,,,,,,,,,,,
Wes Morgan,LEI,DF,90,68.588,68.6,,,,,,,,,,,,,,,
Paul Konchesky,LEI,DF,90,60.062,60.1,,,,,,,,,,,,,,,
Riyad Mahrez,LEI,MF,90,68.152,68.2,,,,,,,,,,,,,,,
Andy King,LEI,MF,90,60.702,60.7,,,,,,,,,,,,,,,
Daniel Drinkwater,LEI,MF,39,57.688,57.7,,,,,,,,,,,,,,,
Anthony Knockaert,LEI,MF,64,58.854,58.9,,,,,,,,,,,,,,,
Leonardo Ulloa,LEI,FW,78,68.122,68.1,,,,,,,,,,,,,,,
David Nugent,LEI,FW,90,62.14,62.1,,,,,,,,,,,,,,,
Dean Hammond,LEI,MF,61,63.206,63.2,,,,,,,,,,,,,,,
Jeffrey Schlupp,LEI,DF,26,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Chris Wood,LEI,FW,12,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Tim Howard,EVE,GK,90,59.486,59.5,,,,,,,,,,,,,,,
John Stones,EVE,DF,90,63.064,63.1,,,,,,,,,,,,,,,
Sylvain Distin,EVE,DF,90,59.256,59.3,,,,,,,,,,,,,,,
Phil Jagielka,EVE,DF,90,63.788,63.8,,,,,,,,,,,,,,,
Leighton Baines,EVE,DF,90,69.38,69.4,,,,,,,,,,,,,,,
James McCarthy,EVE,MF,90,65.822,65.8,,,,,,,,,,,,,,,
Gareth Barry,EVE,MF,90,63.962,64.0,,,,,,,,,,,,,,,
Aiden McGeady,EVE,MF,85,73.286,73.3,,,,,,,,,,,,,,,
Steven Naismith,EVE,FW,90,74.476,74.5,1,,,,,,,,,,,,,,
Steven Pienaar,EVE,MF,81,66.014,66.0,,,,,,,,,,,,,,,
Romelu Lukaku,EVE,FW,90,57.584,57.6,,,,,,,,,,,,,,,
Seamus Coleman,EVE,DF,5,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Kevin Mirallas,EVE,MF,9,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Simon Mignolet,LIV,GK,90,69.92,69.9,,,,,,,,,,,,,,,
Javier Manquillo,LIV,DF,90,70.54,70.5,,,,,,,,,,,,,,,
Martin Skrtel,LIV,DF,90,74.324,74.3,,,,,,,,,,,,,,,
Dejan Lovren,LIV,DF,90,67.844,67.8,,,,,,,,,,,,,,,
Glen Johnson,LIV,DF,90,61.582,61.6,,,,,,,,,,,,,,,
Lucas Leiva,LIV,MF,63,63.046,63.0,,,,,,,,,,,,,,,
Steven Gerrard,LIV,MF,90,63.888,63.9,,,,,,,,,,,,,,,
Jordan Henderson,LIV,MF,90,72.716,72.7,,,,,,,,,,,,,,,
Philippe Coutinho,LIV,MF,76,61.502,61.5,,,,,,,,,,,,,,,
Raheem Sterling,LIV,MF,90,85.252,85.3,1,,,,,,,,,,,,,,
Daniel Sturridge,LIV,FW,90,72.202,72.2,,,,,,,,,,,,,,,
Rickie Lambert,LIV,FW,14,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Joe Allen,LIV,MF,27,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Fraser Forster,SOU,GK,90,60.044,60.0,,,,,,,,,,,,,,,
Nathaniel Clyne,SOU,DF,90,75.45,75.5,,,,,,,,,,,,,,,
Jose Fonte,SOU,DF,90,69.376,69.4,,,,,,,,,,,,,,,
Maya Yoshida,SOU,DF,90,64.942,64.9,,,,,,,,,,,,,,,
Ryan Bertrand,SOU,DF,90,60.156,60.2,,,,,,,,,,,,,,,
Steven Davis,SOU,MF,82,59.722,59.7,,,,,,,,,,,,,,,
Morgan Schneiderlin,SOU,MF,90,67.738,67.7,,,,,,,,,,,,,,,
Victor Wanyama,SOU,MF,90,70.732,70.7,,,,,,,,,,,,,,,
James Ward-Prowse,SOU,MF,90,69.15,69.2,,,,,,,,,,,,,,,
Graziano Pelle,SOU,FW,90,60.826,60.8,,,,,,,,,,,,,,,
Dusan Tadic,SOU,MF,74,64.972,65.0,,,,,,,,,,,,,,,
Lloyd Isgrove,SOU,MF,8,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Shane Long,SOU,FW,16,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Wojciech Szczesny,ARS,GK,90,56.522,56.5,,,,,,,,,,,,,,,
Mathieu Debuchy,ARS,DF,90,70.818,70.8,,,,,,,,,,,,,,,
Calum Chambers,ARS,DF,90,67.446,67.4,,,,,,,,,,,,,,,
Laurent Koscielny,ARS,DF,90,76.416,76.4,1,,,,,,,,,,,,,,
Kieran Gibbs,ARS,DF,53,59.702,59.7,,,,,,,,,,,,,,,
Mikel Arteta,ARS,MF,90,69.282,69.3,,,,,,,,,,,,,,,
Alexis Sanchez,ARS,MF,90,73.36,73.4,,,,,,,,,,,,,,,
Aaron Ramsey,ARS,MF,90,76.82,76.8,,,,,,,,,,,,,,,
Jack Wilshere,ARS,MF,69,61.886,61.9,,,,,,,,,,,,,,,
Santiago Cazorla,ARS,MF,90,68.488,68.5,,,,,,,,,,,,,,,
Yaya Sanogo,ARS,FW,62,56.604,56.6,,,,,,,,,,,,,,,
Nacho Monreal,ARS,DF,37,63.658,63.7,,,,,,,,,,,,,,,
Olivier Giroud,ARS,FW,28,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Alex Oxlade-Chamberlain,ARS,MF,21,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Julian Speroni,CRY,GK,90,61.612,61.6,,,,,,,,,,,,,,,
Martin Kelly,CRY,DF,90,65.35,65.4,,,,,,,,,,,,,,,
Brede Hangeland,CRY,DF,90,70.756,70.8,,,,,,,,,,,,,,,
Scott Dann,CRY,DF,75,63.47,63.5,,,,,,,,,,,,,,,
Joel Ward,CRY,DF,90,70.384,70.4,,,,,,,,,,,,,,,
Jason Puncheon,CRY,MF,90,57,57.0,,,,,,,,,,,,,,,
Mile Jedinak,CRY,MF,90,73.428,73.4,,,,,,,,,,,,,,,
Joe Ledley,CRY,MF,90,64.792,64.8,,,,,,,,,,,,,,,
Yannick Bolasie,CRY,MF,89,64.03,64.0,,,,,,,,,,,,,,,
Marouane Chamakh,CRY,FW,90,69.456,69.5,,,,,,,,,,,,,,,
Fraizer Campbell,CRY,FW,85,61.674,61.7,,,,,,,,,,,,,,,
Stuart O'Keefe,CRY,DF,1,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Dwight Gayle,CRY,FW,5,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Damien Delaney,CRY,DF,15,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Tim Krul,NEW,GK,90,63.596,63.6,,,,,,,,,,,,,,,
Daryl Janmaat,NEW,DF,90,60.248,60.2,,,,,,,,,,,,,,,
Fabricio Coloccini,NEW,DF,90,63.484,63.5,,,,,,,,,,,,,,,
Michael Williamson,NEW,DF,90,68.21,68.2,,,,,,,,,,,,,,,
Paul Dummett,NEW,DF,90,59.406,59.4,,,,,,,,,,,,,,,
Vurnon Anita,NEW,MF,63,59.92,59.9,,,,,,,,,,,,,,,
Remy Cabella,NEW,MF,90,69.02,69.0,,,,,,,,,,,,,,,
Moussa Sissoko,NEW,MF,90,65.444,65.4,,,,,,,,,,,,,,,
Jack Colback,NEW,MF,90,69.144,69.1,,,,,,,,,,,,,,,
Yoan Gouffran,NEW,MF,74,60.522,60.5,,,,,,,,,,,,,,,
Emmanuel Riviere,NEW,FW,83,63.064,63.1,,,,,,,,,,,,,,,
Rolando Aarons,NEW,MF,16,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Ayoze Perez,NEW,FW,7,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Gabriel Obertan,NEW,MF,27,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Joe Hart,MCI,GK,90,64.316,64.3,,,,,,,,,,,,,,,
Gael Clichy,MCI,DF,90,80.18,80.2,1,,,,,,,,,,,,,,
Martin Demichelis,MCI,DF,90,72.97,73.0,,,,,,,,,,,,,,,
Vincent Kompany,MCI,DF,90,68.17,68.2,,,,,,,,,,,,,,,
Aleksadar Kolarov,MCI,DF,90,69.828,69.8,,,,,,,,,,,,,,,
Samir Nasri,MCI,MF,78,63.366,63.4,,,,,,,,,,,,,,,
Fernando,MCI,MF,90,67.794,67.8,,,,,,,,,,,,,,,
Yaya Toure,MCI,MF,90,64.688,64.7,,,,,,,,,,,,,,,
David Silva,MCI,MF,90,77.08,77.1,,,,,,,,,,,,,,,
Edin Dzeko,MCI,FW,83,74.544,74.5,,,,,,,,,,,,,,,
Stevan Jovetic,MCI,FW,73,71.656,71.7,,,,,,,,,,,,,,,
Sergio Aguero,MCI,FW,7,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
James Milner,MCI,MF,12,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Fernandinho,MCI,MF,17,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Tom Heaton,BUR,GK,90,56.418,56.4,,,,,,,,,,,,,,,
Kieran Trippier,BUR,DF,90,59.548,59.5,,,,,,,,,,,,,,,
Michael Duff,BUR,DF,90,60.2,60.2,,,,,,,,,,,,,,,
Jason Shackell,BUR,DF,90,61.13,61.1,,,,,,,,,,,,,,,
Ben Mee,BUR,DF,90,58.334,58.3,,,,,,,,,,,,,,,
Scott Arfield,BUR,MF,90,75.344,75.3,,,,,,,,,,,,,,,
David Jones,BUR,MF,90,58.836,58.8,,,,,,,,,,,,,,,
Dean Marney,BUR,MF,90,58.86,58.9,,,,,,,,,,,,,,,
Matthew Taylor,BUR,MF,70,62.574,62.6,,,,,,,,,,,,,,,
Danny Ings,BUR,FW,82,59.938,59.9,,,,,,,,,,,,,,,
Lukas Jutkiewicz,BUR,FW,70,57.936,57.9,,,,,,,,,,,,,,,
Michael Kightly,BUR,MF,20,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Marvin Sordell,BUR,FW,8,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Ashley Barnes,BUR,FW,20,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Thiabut Courtois,CHE,GK,90,66.454,66.5,,,,,,,,,,,,,,,
Branislav Ivanovic,CHE,DF,90,77.26,77.3,,,,,,,,,,,,,,,
John Terry,CHE,DF,90,67.18,67.2,,,,,,,,,,,,,,,
Gary Cahill,CHE,DF,90,66.56,66.6,,,,,,,,,,,,,,,
Cesar Azpilicueta,CHE,DF,90,67.242,67.2,,,,,,,,,,,,,,,
Cesc Fabregas,CHE,MF,90,87.502,87.5,1,,,,,,,,,,,,,,
Nemanja Matic,CHE,MF,90,68.184,68.2,,,,,,,,,,,,,,,
Andre Schurrle,CHE,MF,78,76.2,76.2,,,,,,,,,,,,,,,
Oscar,CHE,MF,82,65.556,65.6,,,,,,,,,,,,,,,
Eden Hazard,CHE,MF,84,75.072,75.1,,,,,,,,,,,,,,,
Diego Costa,CHE,FW,90,75.4,75.4,,,,,,,,,,,,,,,
Willian,CHE,MF,12,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
Didier Drogba,CHE,FW,6,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
John Obi Mikel,CHE,MF,8,0,0.0,,Not enough minutes played,,,,,,,,,,,,,
