name,club,playing_position,minutes_played,bigindex_score,bigindex_score_rounded,man_of_the_match,comment,,,,,,,,,,
Victor Wanyama,SOU,MF,90,64.512,64.5,,,,,,,,,,,,
James Ward-Prowse,SOU,MF,78,65.309,65.3,,,,,,,,,,,,
Graziano Pelle,SOU,FW,90,62.709,62.7,,,,,,,,,,,,
Dusan Tadic,SOU,MF,90,72.719,72.7,,,,,,,,,,,,
Ben Foster,WBA,GK,90,67.909,67.9,,,,,,,,,,,,
Andre Wisdom,WBA,DF,90,66.560,66.6,,,,,,,,,,,,
Craig Dawson,WBA,DF,90,66.609,66.6,,,,,,,,,,,,
Jonas Olsson,WBA,DF,90,66.560,66.6,,,,,,,,,,,,
Sebastien Pocognoli,WBA,DF,60,64.659,64.7,,,,,,,,,,,,
Graham Dorrans,WBA,MF,90,63.310,63.3,,,,,,,,,,,,
Craig Gardner,WBA,MF,90,65.910,65.9,,,,,,,,,,,,
Youssouf Mulumbu,WBA,MF,90,80.681,80.7,1,,,,,,,,,,,
Chris Brunt,WBA,MF,90,65.959,66.0,,,,,,,,,,,,
Saido Berahino,WBA,FW,89,63.359,63.4,,,,,,,,,,,,
Victor Anichebe,WBA,FW,52,59.361,59.4,,,,,,,,,,,,
Lukasz Fabianski,SWA,GK,90,75.871,75.9,1,,,,,,,,,,,
Angel Rangel,SWA,DF,90,69.160,69.2,,,,,,,,,,,,
Ashley Williams,SWA,DF,90,74.620,74.6,,,,,,,,,,,,
Jordi Amat,SWA,DF,90,74.132,74.1,,,,,,,,,,,,
Neil Taylor,SWA,DF,90,67.860,67.9,,,,,,,,,,,,
Jonjo Shelvey,SWA,MF,90,63.310,63.3,,,,,,,,,,,,
Ki Sung-Yueng,SWA,MF,90,65.861,65.9,,,,,,,,,,,,
Nathan Dyer,SWA,MF,66,73.970,74.0,,,,,,,,,,,,
Gylfi Sigurdsson,SWA,MF,90,67.470,67.5,,,,,,,,,,,,
Wayne Routledge,SWA,MF,90,66.609,66.6,,,,,,,,,,,,
Wilfied Bony,SWA,FW,64,70.720,70.7,,,,,,,,,,,,
Tom Heaton,BUR,GK,90,58.711,58.7,,,,,,,,,,,,
Kieran Trippier,BUR,DF,90,63.261,63.3,,,,,,,,,,,,
Michael Duff,BUR,DF,90,63.960,64.0,,,,,,,,,,,,
Jason Shackell,BUR,DF,90,70.671,70.7,,,,,,,,,,,,
Ben Mee,BUR,DF,90,65.162,65.2,,,,,,,,,,,,
Scott Arfield,BUR,MF,90,63.521,63.5,,,,,,,,,,,,
David Jones,BUR,MF,90,65.910,65.9,,,,,,,,,,,,
Dean Marney,BUR,MF,90,73.921,73.9,,,,,,,,,,,,
Matthew Taylor,BUR,MF,72,62.660,62.7,,,,,,,,,,,,
Danny Ings,BUR,FW,90,61.409,61.4,,,,,,,,,,,,
Lukas Jutkiewicz,BUR,FW,82,64.171,64.2,,,,,,,,,,,,
Tim Howard,EVE,GK,90,56.550,56.6,,,,,,,,,,,,
Sylvain Distin,EVE,DF,90,63.911,63.9,,,,,,,,,,,,
Phil Jagielka,EVE,DF,90,66.511,66.5,,,,,,,,,,,,
Leighton Baines,EVE,DF,90,69.420,69.4,,,,,,,,,,,,
James McCarthy,EVE,MG,90,67.470,67.5,,,,,,,,,,,,
Gareth Barry,EVE,MG,90,76.781,76.8,1,,,,,,,,,,,
Steven Naismith,EVE,FW,90,72.621,72.6,,,,,,,,,,,,
Romelu Lukaku,EVE,FW,76,73.320,73.3,,,,,,,,,,,,
Seamus Coleman,EVE,DF,90,69.322,69.3,,,,,,,,,,,,
Kevin Mirallas,EVE,MF,85,67.470,67.5,,,,,,,,,,,,
Leon Osman,EVE,MF,80,63.261,63.3,,,,,,,,,,,,
Wojciech Szczesny,ARS,GK,90,55.201,55.2,,,,,,,,,,,,
Mathieu Debuchy,ARS,DF,90,66.072,66.1,,,,,,,,,,,,
Calum Chambers,ARS,DF,90,62.952,63.0,,,,,,,,,,,,
Alexis Sanchez,ARS,MF,45,55.753,55.8,,,,,,,,,,,,
Aaron Ramsey,ARS,MF,90,69.420,69.4,,,,,,,,,,,,
Jack Wilshere,ARS,MF,74,55.753,55.8,,,,,,,,,,,,
Nacho Monreal,ARS,DF,90,67.112,67.1,,,,,,,,,,,,
Per Mertesacker,ARS,DF,90,62.562,62.6,,,,,,,,,,,,
Olivier Giroud,ARS,FW,45,74.083,74.1,,,,,,,,,,,,
Mesut Ozil,ARS,MF,90,57.053,57.1,,,,,,,,,,,,
Mathieu Flamini,ARS,MF,90,66.722,66.7,,,,,,,,,,,,
Alex Oxlade-Chamberlain,ARS,MF,74,64.350,64.4,,,,,,,,,,,,
Allan McGregor,HUL,GK,90,66.170,66.2,,,,,,,,,,,,
Curtis Davies,HUL,DF,90,69.810,69.8,,,,,,,,,,,,
James Chester,HUL,DF,14,50.000,50.0,,,,,,,,,,,,
Ahmed Elmohamady,HUL,MF,90,68.071,68.1,,,,,,,,,,,,
Tom Huddlestone,HUL,MF,90,69.322,69.3,,,,,,,,,,,,
Jake Livermore,HUL,MF,90,62.513,62.5,,,,,,,,,,,,
Andrew Robertson,HUL,DF,90,70.021,70.0,,,,,,,,,,,,
Tom Ince,HUL,MF,56,59.800,59.8,,,,,,,,,,,,
Nikica Jelavic,HUL,FW,81,70.070,70.1,,,,,,,,,,,,
Stephen Quinn,HUL,MF,76,70.769,70.8,,,,,,,,,,,,
Liam Rosenior,HUL,DF,34,62.660,62.7,,,,,,,,,,,,
Paul McShane,HUL,DF,90,73.320,73.3,,,,,,,,,,,,
Asmir Begovic,STK,GK,90,59.849,59.8,,,,,,,,,,,,
Phil Bardsley,STK,DF,90,69.160,69.2,,,,,,,,,,,,
Ryan Shawcross,STK,DF,90,78.422,78.4,1,,,,,,,,,,,
Marc Wilson,STK,DF,90,71.223,71.2,,,,,,,,,,,,
Erik Pieters,STK,DF,90,68.461,68.5,,,,,,,,,,,,
Steven N'Zonzi,STK,MF,90,69.371,69.4,,,,,,,,,,,,
Glenn Whelan,STK,MF,41,66.511,66.5,,,,,,,,,,,,
Bojan Krkic,STK,MF,49,60.759,60.8,,,,,,,,,,,,
Marko Arnautovic,STK,MF,55,61.100,61.1,,,,,,,,,,,,
Mame Biram Diouf,STK,FW,90,60.222,60.2,,,,,,,,,,,,
Peter Crouch,STK,FW,35,59.800,59.8,,,,,,,,,,,,
Peter Odemwingie,STK,FW,90,63.813,63.8,,,,,,,,,,,,
Steve Sidwell,STK,MF,65,63.749,63.7,,,,,,,,,,,,
Hugo Lloris,TOT,GK,90,67.860,67.9,,,,,,,,,,,,
Younes Kaboul,TOT,DF,90,71.760,71.8,,,,,,,,,,,,
Eric Dier,TOT,DF,90,80.519,80.5,,,,,,,,,,,,
Danny Rose,TOT,DF,90,79.219,79.2,,,,,,,,,,,,
Etienne Capoue,TOT,MF,90,71.370,71.4,,,,,,,,,,,,
Nabil Bentaleb,TOT,MF,59,66.560,66.6,,,,,,,,,,,,
Christian Eriksen,TOT,MF,90,74.571,74.6,,,,,,,,,,,,
Erik Lamela,TOT,MF,90,87.880,87.9,1,,,,,,,,,,,
Emmanuel Adebayor,TOT,FW,80,83.769,83.8,,,,,,,,,,,,
Jan Vertonghen,TOT,DF,90,76.570,76.6,,,,,,,,,,,,
Nacer Chadli,TOT,MF,69,80.519,80.5,,,,,,,,,,,,
Moussa Dembele,TOT,MF,31,63.310,63.3,,,,,,,,,,,,
Robert Green,QPR,GK,90,51.301,51.3,,,,,,,,,,,,
Richard Dunne,QPR,DF,45,51.154,51.2,,,,,,,,,,,,
Rio Ferdinand,QPR,DF,90,55.964,56.0,,,,,,,,,,,,
Steven Caulker,QPR,DF,90,63.001,63.0,,,,,,,,,,,,
Armand Traore,QPR,DF,90,54.502,54.5,,,,,,,,,,,,
Joey Barton,QPR,MF,90,67.860,67.9,,,,,,,,,,,,
Jordon Mutch,QPR,MF,90,53.251,53.3,,,,,,,,,,,,
Loic Remy,QPR,FW,90,58.662,58.7,,,,,,,,,,,,
Mauricio Isla,QPR,DF,90,56.013,56.0,,,,,,,,,,,,
Matthew Phillips,QPR,MF,74,50.001,50.0,,,,,,,,,,,,
Leroy Fer,QPR,MF,68,55.201,55.2,,,,,,,,,,,,
Nedum Onuoha,QPR,DF,45,63.261,63.3,,,,,,,,,,,,
Vito Mannone,SUN,GK,90,64.561,64.6,,,,,,,,,,,,
Wes Brown,SUN,DF,90,68.022,68.0,,,,,,,,,,,,
John O'Shea,SUN,DF,90,62.611,62.6,,,,,,,,,,,,
Patrick van Aanholt,SUN,DF,90,59.913,59.9,,,,,,,,,,,,
Lee Cattermole,SUN,MF,90,71.630,71.6,,,,,,,,,,,,
Jack Rodwell,SUN,MF,63,72.670,72.7,,,,,,,,,,,,
Sebastien Larsson,SUN,MF,90,73.482,73.5,,,,,,,,,,,,
Connor Wickham,SUN,FW,90,65.910,65.9,,,,,,,,,,,,
Steven Fletcher,SUN,FW,77,58.500,58.5,,,,,,,,,,,,
Santiago Vergini,SUN,DF,90,71.321,71.3,,,,,,,,,,,,
William Buckley,SUN,MF,79,70.720,70.7,,,,,,,,,,,,
David de Gea,MUN,GK,90,62.660,62.7,,,,,,,,,,,,
Phil Jones,MUN,DEF,90,77.885,77.9,1,,,,,,,,,,,
Tyler Blackett,MUN,DEF,90,67.372,67.4,,,,,,,,,,,,
Chris Smalling,MUN,DEF,44,68.071,68.1,,,,,,,,,,,,
Darren Fletcher,MUN,MF,63,61.375,61.4,,,,,,,,,,,,
Ashley Young,MUN,MF,90,59.702,59.7,,,,,,,,,,,,
Juan Mata,MUN,MF,90,69.322,69.3,,,,,,,,,,,,
Wayne Rooney,MUN,FW,90,62.611,62.6,,,,,,,,,,,,
Antonio Valencia,MUN,MF,90,69.972,70.0,,,,,,,,,,,,
Michael Keane,MUN,DF,46,62.513,62.5,,,,,,,,,,,,
Robin van Persie,MUN,FW,63,61.213,61.2,,,,,,,,,,,,
Tom Cleverley,MUN,MF,90,61.164,61.2,,,,,,,,,,,,
Joe Hart,MCI,GK,90,69.972,70.0,,,,,,,,,,,,
Gael Clichy,MCI,DF,90,69.322,69.3,,,,,,,,,,,,
Martin Demichelis,MCI,DF,90,68.022,68.0,,,,,,,,,,,,
Vincent Kompany,MCI,DF,90,68.233,68.2,,,,,,,,,,,,
Samir Nasri,MCI,MF,90,72.670,72.7,,,,,,,,,,,,
Fernando,MCI,MF,90,69.420,69.4,,,,,,,,,,,,
Yaya Toure,MCI,MF,90,63.163,63.2,,,,,,,,,,,,
David Silva,MCI,MF,65,66.283,66.3,,,,,,,,,,,,
Edin Dzeko,MCI,FW,68,64.610,64.6,,,,,,,,,,,,
Stevan Jovetic,MCI,FW,80,88.091,88.1,1,,,,,,,,,,,
Pablo Zabaleta,MCI,DF,90,63.180,63.2,,,,,,,,,,,,
Simon Mignolet,LIV,GK,90,57.362,57.4,,,,,,,,,,,,
Martin Skrtel,LIV,DF,90,59.312,59.3,,,,,,,,,,,,
Dejan Lovren,LIV,DF,90,62.562,62.6,,,,,,,,,,,,
Glen Johnson,LIV,DF,90,55.250,55.3,,,,,,,,,,,,
Steven Gerrard,LIV,MF,90,66.673,66.7,,,,,,,,,,,,
Jordan Henderson,LIV,MF,90,61.961,62.0,,,,,,,,,,,,
Philippe Coutinho,LIV,MF,60,58.711,58.7,,,,,,,,,,,,
Raheem Sterling,LIV,MF,79,63.472,63.5,,,,,,,,,,,,
Daniel Sturridge,LIV,FW,90,72.069,72.1,,,,,,,,,,,,
Joe Allen,LIV,MF,75,60.661,60.7,,,,,,,,,,,,
Lazar Markovic,LIV,MF,30,62.611,62.6,,,,,,,,,,,,
Alberto Moreno,LIV,DF,90,56.403,56.4,,,,,,,,,,,,
